"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 24 12:46:00 GMT 2024","Wed Jan 24 12:46:07 GMT 2024","6676","","includes/widgets/image.test.ts","Image widget tests @styleguide_image_link","","","image: Custom image size test",""
"passed","Wed Jan 24 12:45:51 GMT 2024","Wed Jan 24 12:46:03 GMT 2024","11887","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:mobile_extra - Experiment breakpoints:On",""
"passed","Wed Jan 24 12:46:46 GMT 2024","Wed Jan 24 12:46:54 GMT 2024","8274","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify image-carousel link control",""
"passed","Wed Jan 24 12:50:39 GMT 2024","Wed Jan 24 12:50:58 GMT 2024","18881","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""jeg-elementor-kit"" plugin: @pluginTester1_sections",""
"passed","Wed Jan 24 12:48:25 GMT 2024","Wed Jan 24 12:48:43 GMT 2024","17845","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""anywhere-elementor"" plugin: @pluginTester1_containers",""
"passed","Wed Jan 24 12:46:07 GMT 2024","Wed Jan 24 12:46:27 GMT 2024","20188","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test accordion template",""
"passed","Wed Jan 24 12:47:32 GMT 2024","Wed Jan 24 12:47:51 GMT 2024","19251","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""skyboot-custom-icons-for-elementor"" plugin: @pluginTester2_containers",""
"passed","Wed Jan 24 12:45:36 GMT 2024","Wed Jan 24 12:45:40 GMT 2024","4507","","core/app/modules/onboarding/onboarding.test.ts","On boarding @onBoarding","","","Onboarding Create Account Popup Open",""
"passed","Wed Jan 24 12:45:52 GMT 2024","Wed Jan 24 12:46:12 GMT 2024","20765","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""premium-addons-for-elementor"" plugin: @pluginTester2_sections",""
"passed","Wed Jan 24 12:48:36 GMT 2024","Wed Jan 24 12:48:41 GMT 2024","5076","","editor-v2.test.ts","Editor v2","","","check that app-bar exists",""
"passed","Wed Jan 24 12:51:16 GMT 2024","Wed Jan 24 12:51:37 GMT 2024","20497","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""jeg-elementor-kit"" plugin: @pluginTester1_containers",""
"passed","Wed Jan 24 12:50:57 GMT 2024","Wed Jan 24 12:51:16 GMT 2024","18999","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""header-footer-elementor"" plugin: @pluginTester1_containers",""
"passed","Wed Jan 24 12:49:55 GMT 2024","Wed Jan 24 12:50:13 GMT 2024","17525","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""jetwidgets-for-elementor"" plugin: @pluginTester2_sections",""
"passed","Wed Jan 24 12:48:50 GMT 2024","Wed Jan 24 12:48:53 GMT 2024","2881","","hidden-widgets-on-search.test.ts","","","","Spacer widget should be shown in search result",""
"passed","Wed Jan 24 12:46:55 GMT 2024","Wed Jan 24 12:47:00 GMT 2024","5452","","basic-gallery.test.ts","","","","Basic Gallery",""
"passed","Wed Jan 24 12:51:23 GMT 2024","Wed Jan 24 12:51:46 GMT 2024","23202","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""happy-elementor-addons"" plugin: @pluginTester2_containers",""
"passed","Wed Jan 24 12:45:48 GMT 2024","Wed Jan 24 12:45:52 GMT 2024","4004","","assets/dev/js/editor/elements/views/widget.test.ts","$e.run( 'editor/elements/views/widget' )","","","Check if the empty placeholder is displayed inside the Image Carousel",""
"passed","Wed Jan 24 12:50:53 GMT 2024","Wed Jan 24 12:50:55 GMT 2024","2383","","modules/promotions/admin-menu-items/menu-item-promotions.test.ts","","","","Promotion screenshot",""
"passed","Wed Jan 24 12:46:49 GMT 2024","Wed Jan 24 12:47:07 GMT 2024","17928","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""bdthemes-prime-slider-lite"" plugin: @pluginTester1_sections",""
"passed","Wed Jan 24 12:45:41 GMT 2024","Wed Jan 24 12:45:51 GMT 2024","9333","","includes/widgets/rating/style-panel.test.ts","Rating style panel - Icon Experiment: inactive @rating","","","Rating flex-wrap styling: inactive",""
"passed","Wed Jan 24 12:46:48 GMT 2024","Wed Jan 24 12:47:04 GMT 2024","16400","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""sb-elementor-contact-form-db"" plugin: @pluginTester2_sections",""
"passed","Wed Jan 24 12:46:33 GMT 2024","Wed Jan 24 12:46:52 GMT 2024","18861","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""rife-elementor-extensions"" plugin: @pluginTester2_containers",""
"passed","Wed Jan 24 12:48:10 GMT 2024","Wed Jan 24 12:48:17 GMT 2024","7100","","modules/nested-accordion/nested-accordion.test.ts","Nested Accordion experiment is active @nested-accordion","","","Accessibility inside the Editor",""
"passed","Wed Jan 24 12:45:25 GMT 2024","Wed Jan 24 12:45:48 GMT 2024","22744","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test divider template",""
"passed","Wed Jan 24 12:50:06 GMT 2024","Wed Jan 24 12:50:25 GMT 2024","18836","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""tutor-lms-elementor-addons"" plugin: @pluginTester2_containers",""
"passed","Wed Jan 24 12:50:00 GMT 2024","Wed Jan 24 12:50:10 GMT 2024","10014","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Clicking header buttons makes relevant area visible",""
"passed","Wed Jan 24 12:46:36 GMT 2024","Wed Jan 24 12:46:42 GMT 2024","5697","","container-grid.test.ts","Container Grid tests @container","","","Test Empty View should not distorse preview on tablet",""
"passed","Wed Jan 24 12:48:35 GMT 2024","Wed Jan 24 12:48:42 GMT 2024","6967","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Verify that the tab activation works correctly",""
"passed","Wed Jan 24 12:49:47 GMT 2024","Wed Jan 24 12:50:06 GMT 2024","19016","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""jetsticky-for-elementor"" plugin: @pluginTester2_containers",""
"passed","Wed Jan 24 12:48:13 GMT 2024","Wed Jan 24 12:48:25 GMT 2024","12009","","container.test.ts","Container tests @container","","","Container handle should be centered",""
"passed","Wed Jan 24 12:45:38 GMT 2024","Wed Jan 24 12:45:55 GMT 2024","16970","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""jetsticky-for-elementor"" plugin: @pluginTester1_sections",""
"passed","Wed Jan 24 12:47:52 GMT 2024","Wed Jan 24 12:48:04 GMT 2024","11351","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test progress_bar template",""
"passed","Wed Jan 24 12:45:24 GMT 2024","Wed Jan 24 12:45:29 GMT 2024","5117","","accordion.test.ts","","","","Accordion",""
"passed","Wed Jan 24 12:48:10 GMT 2024","Wed Jan 24 12:48:24 GMT 2024","13887","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Disabling Styleguide Preview at Global Typography hides the Styleguide Modal and updates user preferences",""
