"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 14:41:33 GMT 2024","Mon Jan 22 14:41:42 GMT 2024","8766","","container.test.ts","Container tests @container","","","Verify pasting of elements into the Container Element Add section",""
"skipped","Mon Jan 22 14:42:21 GMT 2024","Mon Jan 22 14:42:21 GMT 2024","1","","includes/widgets/image-carousel.test.ts","Image carousel tests","","","Image Carousel Responsive Spacing",""
"passed","Mon Jan 22 14:39:19 GMT 2024","Mon Jan 22 14:39:26 GMT 2024","6829","","modules/ai/assets/js/editor/components/prompt-history/index.test.ts","AI @ai","","","Prompt History - Image",""
"passed","Mon Jan 22 14:37:41 GMT 2024","Mon Jan 22 14:37:42 GMT 2024","784","","core/app/modules/onboarding/onboarding.test.ts","On boarding @onBoarding","","","Onboarding Site Logo Page",""
"passed","Mon Jan 22 14:41:09 GMT 2024","Mon Jan 22 14:41:19 GMT 2024","9386","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Verify that the custom hover color doesn't affect the active tab color",""
"passed","Mon Jan 22 14:41:31 GMT 2024","Mon Jan 22 14:41:40 GMT 2024","9137","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check if the hover style changes the normal tab styling",""
"passed","Mon Jan 22 14:40:18 GMT 2024","Mon Jan 22 14:40:25 GMT 2024","7032","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check Gap between tabs and Space between tabs controls in mobile view",""
"passed","Mon Jan 22 14:39:16 GMT 2024","Mon Jan 22 14:39:32 GMT 2024","16337","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""skyboot-custom-icons-for-elementor"" plugin: @pluginTester2_containers",""
"passed","Mon Jan 22 14:42:59 GMT 2024","Mon Jan 22 14:43:16 GMT 2024","17408","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""header-footer-elementor"" plugin: @pluginTester1_containers",""
"passed","Mon Jan 22 14:39:10 GMT 2024","Mon Jan 22 14:39:16 GMT 2024","6150","","container.test.ts","Container tests @container","","","Sort items in a Container using DnD",""
"passed","Mon Jan 22 14:37:53 GMT 2024","Mon Jan 22 14:37:57 GMT 2024","4296","","assets/dev/js/editor/components/documents/commands/internal/attach-preview.test.ts","","","","$e.run( 'editor/documents/attach-preview' ) - Ensure loaded in custom selector",""
"passed","Mon Jan 22 14:42:41 GMT 2024","Mon Jan 22 14:42:59 GMT 2024","18408","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""exclusive-addons-for-elementor"" plugin: @pluginTester1_containers",""
"passed","Mon Jan 22 14:41:49 GMT 2024","Mon Jan 22 14:41:55 GMT 2024","6463","","container.test.ts","Container tests @container","","","Convert to container does not show when only containers are on the page",""
"passed","Mon Jan 22 14:37:48 GMT 2024","Mon Jan 22 14:37:53 GMT 2024","4796","","accordion.test.ts","","","","Accordion",""
"passed","Mon Jan 22 14:39:17 GMT 2024","Mon Jan 22 14:39:34 GMT 2024","17153","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""sb-elementor-contact-form-db"" plugin: @pluginTester2_sections",""
"passed","Mon Jan 22 14:41:42 GMT 2024","Mon Jan 22 14:41:45 GMT 2024","3472","","container.test.ts","Container tests @container","","","Test container wizard",""
"passed","Mon Jan 22 14:42:01 GMT 2024","Mon Jan 22 14:42:18 GMT 2024","16592","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""jetwidgets-for-elementor"" plugin: @pluginTester2_containers",""
