"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 15:02:08 GMT 2024","Wed Jan 17 15:02:26 GMT 2024","17798","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""sticky-header-effects-for-elementor"" plugin: @pluginTester2_containers",""
"passed","Wed Jan 17 15:00:17 GMT 2024","Wed Jan 17 15:00:25 GMT 2024","7587","","assets/dev/js/editor/document/elements/copy-paste-style.test.ts","","","","A page can be saved successfully after copy-paste style",""
"passed","Wed Jan 17 15:02:51 GMT 2024","Wed Jan 17 15:02:58 GMT 2024","7576","","core/base/document.test.ts","Document tests","","","converting gutenberg page to container",""
"passed","Wed Jan 17 15:02:25 GMT 2024","Wed Jan 17 15:02:42 GMT 2024","17055","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""envato-elements"" plugin: @pluginTester1_containers",""
"passed","Wed Jan 17 15:03:05 GMT 2024","Wed Jan 17 15:03:14 GMT 2024","8872","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test spacer template",""
"passed","Wed Jan 17 15:00:31 GMT 2024","Wed Jan 17 15:00:39 GMT 2024","7992","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:tablet - Experiment breakpoints:Off",""
"passed","Wed Jan 17 15:01:03 GMT 2024","Wed Jan 17 15:01:12 GMT 2024","8763","","includes/widgets/rating/style-panel.test.ts","Rating style panel - Icon Experiment: inactive @rating","","","Rating flex-wrap styling: inactive",""
"passed","Wed Jan 17 15:02:57 GMT 2024","Wed Jan 17 15:03:02 GMT 2024","5089","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Test the container width type",""
"passed","Wed Jan 17 15:02:25 GMT 2024","Wed Jan 17 15:02:42 GMT 2024","16921","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""timeline-widget-addon-for-elementor"" plugin: @pluginTester2_sections",""
"passed","Wed Jan 17 15:00:57 GMT 2024","Wed Jan 17 15:01:04 GMT 2024","7223","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check Gap between tabs and Space between tabs controls in mobile view",""
"passed","Wed Jan 17 15:01:15 GMT 2024","Wed Jan 17 15:01:28 GMT 2024","12938","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test button_hover template",""
"passed","Wed Jan 17 15:01:34 GMT 2024","Wed Jan 17 15:01:51 GMT 2024","16857","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""sb-elementor-contact-form-db"" plugin: @pluginTester2_containers",""
"passed","Wed Jan 17 15:04:51 GMT 2024","Wed Jan 17 15:04:57 GMT 2024","6060","","includes/widgets/text-path.test.ts","","","","Custom path type",""
"passed","Wed Jan 17 15:05:23 GMT 2024","Wed Jan 17 15:05:30 GMT 2024","6586","","section.test.ts","Section tests","","","Verify that elements are in the correct order after passing into a new section",""
"passed","Wed Jan 17 15:00:48 GMT 2024","Wed Jan 17 15:00:52 GMT 2024","3940","","assets/dev/js/editor/introduction-tooltips/global-color-introduction.test.ts","Global color introduction tests","","","Check if globals introduction tooltip is not being triggered twice",""
"passed","Wed Jan 17 15:02:01 GMT 2024","Wed Jan 17 15:02:20 GMT 2024","19083","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test image_box template",""
"passed","Wed Jan 17 15:02:53 GMT 2024","Wed Jan 17 15:03:03 GMT 2024","10526","","container.test.ts","Container tests @container","","","Container handle should be centered",""
"passed","Wed Jan 17 15:03:38 GMT 2024","Wed Jan 17 15:03:54 GMT 2024","16884","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""make-column-clickable-elementor"" plugin: @pluginTester1_containers",""
"passed","Wed Jan 17 15:02:20 GMT 2024","Wed Jan 17 15:02:37 GMT 2024","16506","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test image_carousel template",""
"passed","Wed Jan 17 15:02:14 GMT 2024","Wed Jan 17 15:02:26 GMT 2024","11953","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test text_path_hover template",""
"passed","Wed Jan 17 15:00:48 GMT 2024","Wed Jan 17 15:00:57 GMT 2024","8264","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check the icon size on frontend",""
"passed","Wed Jan 17 15:01:16 GMT 2024","Wed Jan 17 15:01:33 GMT 2024","17293","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""connect-polylang-elementor"" plugin: @pluginTester1_sections",""
"passed","Wed Jan 17 15:03:06 GMT 2024","Wed Jan 17 15:03:20 GMT 2024","13675","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Disabling Styleguide Preview at Global Typography hides the Styleguide Modal and updates user preferences",""
"passed","Wed Jan 17 15:03:20 GMT 2024","Wed Jan 17 15:03:29 GMT 2024","9315","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Clicks on color trigger picker state and active state",""
"passed","Wed Jan 17 15:01:10 GMT 2024","Wed Jan 17 15:01:14 GMT 2024","4322","","includes/widgets/image.test.ts","Image widget tests @styleguide_image_link","","","Lightbox image captions aligned center",""
"passed","Wed Jan 17 15:01:13 GMT 2024","Wed Jan 17 15:01:17 GMT 2024","3490","","assets/js/editor/elements/views/base.test.ts","","","","renderDataBindings() sanity test",""
"passed","Wed Jan 17 15:04:45 GMT 2024","Wed Jan 17 15:04:51 GMT 2024","5983","","includes/widgets/tabs.test.ts","Tabs widget tests","","","Tabs widget sanity test",""
"passed","Wed Jan 17 15:01:45 GMT 2024","Wed Jan 17 15:01:52 GMT 2024","7399","","basic-gallery.test.ts","","","","Basic Gallery Lightbox test with older Swiper",""
"passed","Wed Jan 17 15:02:24 GMT 2024","Wed Jan 17 15:02:28 GMT 2024","3776","","context-menu.test.ts","Context menu","","","Copy Paste widget test",""
"passed","Wed Jan 17 15:00:28 GMT 2024","Wed Jan 17 15:00:30 GMT 2024","1274","","core/app/modules/onboarding/onboarding.test.ts","On boarding @onBoarding","","","Onboarding Skip to Hello Theme Page",""
"passed","Wed Jan 17 15:03:01 GMT 2024","Wed Jan 17 15:03:18 GMT 2024","17103","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""visibility-logic-elementor"" plugin: @pluginTester2_containers",""
"passed","Wed Jan 17 15:01:20 GMT 2024","Wed Jan 17 15:01:26 GMT 2024","5843","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify button link control",""
"passed","Wed Jan 17 15:01:51 GMT 2024","Wed Jan 17 15:01:57 GMT 2024","6047","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify social-icons link control",""
"passed","Wed Jan 17 15:04:09 GMT 2024","Wed Jan 17 15:04:20 GMT 2024","10545","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Adding and removing new fonts",""
"passed","Wed Jan 17 15:01:18 GMT 2024","Wed Jan 17 15:01:25 GMT 2024","6999","","modules/ai/assets/js/editor/components/prompt-history/index.test.ts","AI @ai","","","Prompt History - Image",""
