"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jan 19 12:48:43 GMT 2024","Fri Jan 19 12:48:43 GMT 2024","1","","includes/widgets/image-carousel.test.ts","Image carousel tests","","","Image Carousel Responsive Spacing",""
"passed","Fri Jan 19 12:45:10 GMT 2024","Fri Jan 19 12:45:14 GMT 2024","3893","","assets/dev/js/editor/introduction-tooltips/global-color-introduction.test.ts","Global color introduction tests","","","Check if globals introduction tooltip is not being triggered twice",""
"passed","Fri Jan 19 12:44:43 GMT 2024","Fri Jan 19 12:44:51 GMT 2024","8737","","modules/nested-accordion/nested-accordion-content.test.ts","Nested Accordion Content Tests @nested-accordion","","","Nested Accordion Title Icon and Text Vertical Alignment",""
"passed","Fri Jan 19 12:47:49 GMT 2024","Fri Jan 19 12:47:59 GMT 2024","9757","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Change font title",""
"passed","Fri Jan 19 12:47:01 GMT 2024","Fri Jan 19 12:47:07 GMT 2024","6511","","modules/ai/ai-button.test.ts","AI @ai","","","AI Button",""
"passed","Fri Jan 19 12:45:27 GMT 2024","Fri Jan 19 12:45:35 GMT 2024","7429","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check that the hover affects non-active tab only",""
"passed","Fri Jan 19 12:44:36 GMT 2024","Fri Jan 19 12:44:42 GMT 2024","6402","","includes/widgets/rating/accessibility-structured-data.test.ts","Accessibility & Structured data @rating","","","Accessibility & Structured data",""
"passed","Fri Jan 19 12:48:18 GMT 2024","Fri Jan 19 12:48:21 GMT 2024","3424","","container.test.ts","Container tests @container","","","Test container wizard",""
"passed","Fri Jan 19 12:44:59 GMT 2024","Fri Jan 19 12:45:10 GMT 2024","11036","","modules/nested-accordion/nested-accordion-content.test.ts","Nested Accordion Content Tests @nested-accordion","","","Nested Accordion test SVG Icon and No Icon when Title Icons is disabled",""
"passed","Fri Jan 19 12:46:32 GMT 2024","Fri Jan 19 12:46:44 GMT 2024","12093","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:All - Experiment breakpoints:On",""
"passed","Fri Jan 19 12:47:06 GMT 2024","Fri Jan 19 12:47:14 GMT 2024","7801","","core/base/document.test.ts","Document tests","","","Converting Gutenberg page to sections columns",""
"passed","Fri Jan 19 12:48:35 GMT 2024","Fri Jan 19 12:48:43 GMT 2024","8745","","includes/widgets/image-carousel.test.ts","Image carousel tests","","","Image Carousel",""
"passed","Fri Jan 19 12:44:23 GMT 2024","Fri Jan 19 12:44:27 GMT 2024","4847","","accordion.test.ts","","","","Accordion",""
"passed","Fri Jan 19 12:46:04 GMT 2024","Fri Jan 19 12:46:15 GMT 2024","11111","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test image_box_hover template",""
"passed","Fri Jan 19 12:48:37 GMT 2024","Fri Jan 19 12:48:53 GMT 2024","16560","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""tutor-lms-elementor-addons"" plugin: @pluginTester2_sections",""
"passed","Fri Jan 19 12:45:18 GMT 2024","Fri Jan 19 12:45:28 GMT 2024","9392","","includes/widgets/rating/style-panel.test.ts","Rating style panel - Icon Experiment: active @rating","","","Styling test - Icon Experiment: active",""
"passed","Fri Jan 19 12:45:21 GMT 2024","Fri Jan 19 12:45:28 GMT 2024","6631","","video.test.ts","Video tests inside a container @video","","","dailymotion controls and link test",""
"passed","Fri Jan 19 12:46:25 GMT 2024","Fri Jan 19 12:46:29 GMT 2024","3592","","button.test.ts","","","","Button widget sanity test",""
"passed","Fri Jan 19 12:45:22 GMT 2024","Fri Jan 19 12:45:40 GMT 2024","17768","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test alert template",""
"passed","Fri Jan 19 12:45:44 GMT 2024","Fri Jan 19 12:46:02 GMT 2024","18720","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""royal-elementor-addons"" plugin: @pluginTester2_sections",""
"passed","Fri Jan 19 12:45:47 GMT 2024","Fri Jan 19 12:45:53 GMT 2024","5609","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify image-box link control",""
"passed","Fri Jan 19 12:45:58 GMT 2024","Fri Jan 19 12:46:06 GMT 2024","7968","","basic-gallery.test.ts","","","","Basic Gallery Lightbox test with latest Swiper",""
"passed","Fri Jan 19 12:46:05 GMT 2024","Fri Jan 19 12:46:23 GMT 2024","18778","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""connect-polylang-elementor"" plugin: @pluginTester1_sections",""
"passed","Fri Jan 19 12:49:14 GMT 2024","Fri Jan 19 12:49:21 GMT 2024","6512","","includes/widgets/text-path.test.ts","","","","Custom path type",""
"passed","Fri Jan 19 12:45:27 GMT 2024","Fri Jan 19 12:45:32 GMT 2024","5056","","modules/nested-accordion/nested-accordion-content.test.ts","Nested Accordion Content Tests @nested-accordion","","","Nested Accordion animation",""
"passed","Fri Jan 19 12:44:47 GMT 2024","Fri Jan 19 12:44:55 GMT 2024","7817","","container-grid.test.ts","Container Grid tests @container","","","Grid container presets",""
"passed","Fri Jan 19 12:46:30 GMT 2024","Fri Jan 19 12:46:34 GMT 2024","4070","","container.test.ts","Container tests @container","","","Right click should add Full Width container",""
"passed","Fri Jan 19 12:47:33 GMT 2024","Fri Jan 19 12:47:40 GMT 2024","6615","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Verify that the tab activation works correctly",""
"passed","Fri Jan 19 12:45:58 GMT 2024","Fri Jan 19 12:46:09 GMT 2024","11300","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:tablet_extra - Experiment breakpoints:On",""
"passed","Fri Jan 19 12:45:39 GMT 2024","Fri Jan 19 12:46:00 GMT 2024","20712","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""astra-sites"" plugin: @pluginTester1_containers",""
"passed","Fri Jan 19 12:49:03 GMT 2024","Fri Jan 19 12:49:08 GMT 2024","4804","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Nested tabs stretch for top direction",""
"passed","Fri Jan 19 12:45:02 GMT 2024","Fri Jan 19 12:45:07 GMT 2024","4300","","container-grid.test.ts","Container Grid tests @container","","","Test grid outline multiple controls",""
"passed","Fri Jan 19 12:45:24 GMT 2024","Fri Jan 19 12:45:36 GMT 2024","12049","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:mobile - Experiment breakpoints:On",""
"passed","Fri Jan 19 12:47:14 GMT 2024","Fri Jan 19 12:47:18 GMT 2024","3842","","modules/nested-accordion/nested-accordion.test.ts","Nested Accordion experiment is active @nested-accordion","","","Nested Accordion stays full width in container Direction Row",""
"passed","Fri Jan 19 12:44:40 GMT 2024","Fri Jan 19 12:44:46 GMT 2024","6214","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Accessibility inside the Editor",""
"passed","Fri Jan 19 12:44:58 GMT 2024","Fri Jan 19 12:45:02 GMT 2024","3431","","assets/dev/js/editor/elements/views/widget.test.ts","$e.run( 'editor/elements/views/widget' )","","","Check if the empty placeholder is displayed inside the Basic Gallery widget",""
"passed","Fri Jan 19 12:46:56 GMT 2024","Fri Jan 19 12:47:00 GMT 2024","3550","","context-menu.test.ts","Context menu","","","Open Navigator test",""
"passed","Fri Jan 19 12:44:46 GMT 2024","Fri Jan 19 12:44:54 GMT 2024","7678","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Accessibility on the Front End",""
"passed","Fri Jan 19 12:44:31 GMT 2024","Fri Jan 19 12:44:32 GMT 2024","1324","","core/app/modules/onboarding/onboarding.test.ts","On boarding @onBoarding","","","Onboarding Skip to Hello Theme Page",""
"passed","Fri Jan 19 12:45:16 GMT 2024","Fri Jan 19 12:45:22 GMT 2024","5659","","container-grid.test.ts","Container Grid tests @container","","","Test grid auto flow on different breakpoints",""
"passed","Fri Jan 19 12:47:13 GMT 2024","Fri Jan 19 12:47:29 GMT 2024","15545","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test video template",""
"passed","Fri Jan 19 12:45:42 GMT 2024","Fri Jan 19 12:45:50 GMT 2024","7906","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Verify the separation of the parent and child nested tabs styling",""
"passed","Fri Jan 19 12:45:42 GMT 2024","Fri Jan 19 12:45:47 GMT 2024","5631","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify image link control",""
"passed","Fri Jan 19 12:45:06 GMT 2024","Fri Jan 19 12:45:10 GMT 2024","3896","","assets/dev/js/editor/introduction-tooltips/global-color-introduction.test.ts","Global color introduction tests","","","Check if globals introduction tooltip is being triggered by clicking on the color picker",""
"passed","Fri Jan 19 12:47:00 GMT 2024","Fri Jan 19 12:47:03 GMT 2024","3355","","context-menu.test.ts","Context menu","","","Delete widget test",""
"passed","Fri Jan 19 12:44:47 GMT 2024","Fri Jan 19 12:45:05 GMT 2024","18479","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""powerpack-lite-for-elementor"" plugin: @pluginTester2_containers",""
"passed","Fri Jan 19 12:46:23 GMT 2024","Fri Jan 19 12:46:43 GMT 2024","19143","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""dynamic-visibility-for-elementor"" plugin: @pluginTester1_sections",""
"passed","Fri Jan 19 12:48:08 GMT 2024","Fri Jan 19 12:48:16 GMT 2024","7912","","includes/widgets/google-maps.test.ts","","","","Verify Google maps controls",""
"passed","Fri Jan 19 12:47:42 GMT 2024","Fri Jan 19 12:48:01 GMT 2024","18467","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""ht-mega-for-elementor"" plugin: @pluginTester2_containers",""
"passed","Fri Jan 19 12:45:05 GMT 2024","Fri Jan 19 12:45:26 GMT 2024","20339","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""addons-for-elementor"" plugin: @pluginTester1_sections",""
"passed","Fri Jan 19 12:49:44 GMT 2024","Fri Jan 19 12:49:46 GMT 2024","2098","","modules/promotions/admin-menu-items/menu-item-promotions.test.ts","","","","Promotion screenshot",""
"passed","Fri Jan 19 12:45:39 GMT 2024","Fri Jan 19 12:45:46 GMT 2024","6544","","container-grid.test.ts","Container Grid tests @container","","","Need Help url for grid and flex containers",""
"passed","Fri Jan 19 12:44:49 GMT 2024","Fri Jan 19 12:44:53 GMT 2024","4126","","assets/dev/js/editor/elements/views/widget.test.ts","$e.run( 'editor/elements/views/widget' )","","","Check if the empty placeholder is displayed inside the Sidebar widget",""
"passed","Fri Jan 19 12:49:14 GMT 2024","Fri Jan 19 12:49:34 GMT 2024","19109","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""music-player-for-elementor"" plugin: @pluginTester1_containers",""
"passed","Fri Jan 19 12:47:14 GMT 2024","Fri Jan 19 12:47:22 GMT 2024","7448","","core/base/document.test.ts","Document tests","","","converting gutenberg page to container",""
"passed","Fri Jan 19 12:45:26 GMT 2024","Fri Jan 19 12:45:43 GMT 2024","16712","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""rife-elementor-extensions"" plugin: @pluginTester2_containers",""
"passed","Fri Jan 19 12:45:06 GMT 2024","Fri Jan 19 12:45:12 GMT 2024","6427","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check visibility of icon svg file when font icons experiment is active",""
