"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 14:47:15 GMT 2024","Wed Jan 17 14:47:34 GMT 2024","18694","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""addons-for-elementor"" plugin: @pluginTester1_containers",""
"passed","Wed Jan 17 14:47:52 GMT 2024","Wed Jan 17 14:48:12 GMT 2024","20350","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""astra-sites"" plugin: @pluginTester1_containers",""
"passed","Wed Jan 17 14:46:34 GMT 2024","Wed Jan 17 14:46:44 GMT 2024","10128","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:mobile - Experiment breakpoints:Off",""
"passed","Wed Jan 17 14:49:33 GMT 2024","Wed Jan 17 14:49:42 GMT 2024","8381","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Test the hover animation",""
"passed","Wed Jan 17 14:46:48 GMT 2024","Wed Jan 17 14:46:57 GMT 2024","8710","","includes/widgets/rating/style-panel.test.ts","Rating style panel - Icon Experiment: inactive @rating","","","Styling test - Icon Experiment: inactive",""
"passed","Wed Jan 17 14:49:08 GMT 2024","Wed Jan 17 14:49:23 GMT 2024","15537","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test video template",""
"passed","Wed Jan 17 14:47:42 GMT 2024","Wed Jan 17 14:47:58 GMT 2024","16108","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test icon_list template",""
"passed","Wed Jan 17 14:47:36 GMT 2024","Wed Jan 17 14:47:42 GMT 2024","5459","","container-grid.test.ts","Container Grid tests @container","","","Test Empty View should not distorse preview",""
"passed","Wed Jan 17 14:47:10 GMT 2024","Wed Jan 17 14:47:14 GMT 2024","3593","","assets/dev/js/editor/elements/views/widget.test.ts","$e.run( 'editor/elements/views/widget' )","","","Check if the empty placeholder is displayed inside the Basic Gallery widget",""
"passed","Wed Jan 17 14:50:13 GMT 2024","Wed Jan 17 14:50:30 GMT 2024","17806","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""metform"" plugin: @pluginTester1_sections",""
"passed","Wed Jan 17 14:50:34 GMT 2024","Wed Jan 17 14:50:54 GMT 2024","20239","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check that background video is loaded in multiple content containers",""
"passed","Wed Jan 17 14:46:31 GMT 2024","Wed Jan 17 14:46:43 GMT 2024","12259","","video.test.ts","Video tests inside a container @video","","","youtube controls and link test",""
"passed","Wed Jan 17 14:48:48 GMT 2024","Wed Jan 17 14:49:02 GMT 2024","13718","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Enabling Styleguide Preview at Global Typography shows the Styleguide Modal and updates user preferences",""
"passed","Wed Jan 17 14:46:37 GMT 2024","Wed Jan 17 14:46:40 GMT 2024","2949","","core/app/modules/onboarding/onboarding.test.ts","On boarding @onBoarding","","","Onboarding Good to Go Page - Open Kit Library",""
"passed","Wed Jan 17 14:47:58 GMT 2024","Wed Jan 17 14:48:04 GMT 2024","5888","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify social-icons link control",""
"passed","Wed Jan 17 14:46:24 GMT 2024","Wed Jan 17 14:46:31 GMT 2024","6940","","core/app/modules/onboarding/onboarding.test.ts","On boarding @onBoarding","","","Onboarding Upgrade Popover",""
"passed","Wed Jan 17 14:46:54 GMT 2024","Wed Jan 17 14:47:03 GMT 2024","8161","","container-grid.test.ts","Container Grid tests @container","","","Grid container presets",""
"passed","Wed Jan 17 14:51:43 GMT 2024","Wed Jan 17 14:51:50 GMT 2024","6589","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check title long title alignment",""
"passed","Wed Jan 17 14:48:11 GMT 2024","Wed Jan 17 14:48:26 GMT 2024","15615","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Enabling Styleguide Preview user preference enabled Styleguide Preview at Global Colors and Global Typography",""
"passed","Wed Jan 17 14:49:47 GMT 2024","Wed Jan 17 14:49:51 GMT 2024","4300","","elements-panel.test.ts","","","","add widgets from the panel by click",""
"passed","Wed Jan 17 14:49:55 GMT 2024","Wed Jan 17 14:50:02 GMT 2024","6515","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Verify that the tab activation works correctly",""
"passed","Wed Jan 17 14:47:06 GMT 2024","Wed Jan 17 14:47:10 GMT 2024","3914","","assets/dev/js/editor/elements/views/widget.test.ts","$e.run( 'editor/elements/views/widget' )","","","Check if the empty placeholder is displayed inside the Image Box widget",""
"passed","Wed Jan 17 14:50:47 GMT 2024","Wed Jan 17 14:51:09 GMT 2024","21489","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""ooohboi-steroids-for-elementor"" plugin: @pluginTester1_sections",""
"passed","Wed Jan 17 14:50:53 GMT 2024","Wed Jan 17 14:51:08 GMT 2024","15410","","container.test.ts","Container tests @container","","","Test dimensions with logical properties using ltr & rtl",""
"passed","Wed Jan 17 14:47:34 GMT 2024","Wed Jan 17 14:47:42 GMT 2024","8115","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check the icon size on frontend",""
"passed","Wed Jan 17 14:47:21 GMT 2024","Wed Jan 17 14:47:27 GMT 2024","5688","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify heading link control",""
"passed","Wed Jan 17 14:47:51 GMT 2024","Wed Jan 17 14:48:00 GMT 2024","8662","","modules/ai/text.test.ts","AI @ai","","","Text",""
"passed","Wed Jan 17 14:50:45 GMT 2024","Wed Jan 17 14:50:54 GMT 2024","8274","","includes/widgets/image-carousel.test.ts","Image carousel tests","","","Image Carousel",""
"passed","Wed Jan 17 14:47:30 GMT 2024","Wed Jan 17 14:47:42 GMT 2024","11822","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test button_hover template",""
"passed","Wed Jan 17 14:48:27 GMT 2024","Wed Jan 17 14:48:44 GMT 2024","16882","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""sticky-header-effects-for-elementor"" plugin: @pluginTester2_containers",""
"passed","Wed Jan 17 14:51:24 GMT 2024","Wed Jan 17 14:51:31 GMT 2024","6602","","includes/widgets/text-path.test.ts","","","","Custom path type",""
"passed","Wed Jan 17 14:47:44 GMT 2024","Wed Jan 17 14:47:47 GMT 2024","3792","","assets/js/editor/controls/wysiwyg.test.ts","","","","WYSIWYG Control allows mixing HTML & entities",""
"passed","Wed Jan 17 14:49:11 GMT 2024","Wed Jan 17 14:49:17 GMT 2024","6337","","container.test.ts","Container tests @container","","","Spacer alignment with container column setting",""
"passed","Wed Jan 17 14:47:30 GMT 2024","Wed Jan 17 14:47:38 GMT 2024","7850","","modules/ai/assets/js/editor/components/prompt-history/index.test.ts","AI @ai","","","Prompt History - Text",""
"passed","Wed Jan 17 14:47:45 GMT 2024","Wed Jan 17 14:47:56 GMT 2024","10953","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:laptop - Experiment breakpoints:On",""
"passed","Wed Jan 17 14:50:30 GMT 2024","Wed Jan 17 14:50:33 GMT 2024","3401","","container.test.ts","Container tests @container","","","Container no horizontal scroll",""
"passed","Wed Jan 17 14:50:27 GMT 2024","Wed Jan 17 14:50:47 GMT 2024","20419","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""jeg-elementor-kit"" plugin: @pluginTester1_containers",""
"passed","Wed Jan 17 14:48:30 GMT 2024","Wed Jan 17 14:48:49 GMT 2024","18957","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""dynamic-visibility-for-elementor"" plugin: @pluginTester1_containers",""
"passed","Wed Jan 17 14:49:20 GMT 2024","Wed Jan 17 14:49:37 GMT 2024","16945","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""header-footer-elementor"" plugin: @pluginTester1_sections",""
"passed","Wed Jan 17 14:46:44 GMT 2024","Wed Jan 17 14:46:50 GMT 2024","6136","","modules/ai/ai-button.test.ts","AI @ai","","","AI Button",""
"passed","Wed Jan 17 14:47:04 GMT 2024","Wed Jan 17 14:47:23 GMT 2024","18876","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test text_editor template",""
"passed","Wed Jan 17 14:49:48 GMT 2024","Wed Jan 17 14:50:06 GMT 2024","17550","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""visibility-logic-elementor"" plugin: @pluginTester2_sections",""
"passed","Wed Jan 17 14:46:46 GMT 2024","Wed Jan 17 14:47:04 GMT 2024","17817","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test social_icons template",""
"passed","Wed Jan 17 14:46:30 GMT 2024","Wed Jan 17 14:46:39 GMT 2024","9275","","includes/widgets/rating/content-panel.test.ts","Rating content panel - Icon Experiment inactive @rating","","","Functionality test - Icon Experiment: inactive",""
"passed","Wed Jan 17 14:49:14 GMT 2024","Wed Jan 17 14:49:28 GMT 2024","13922","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Disabling Styleguide Preview at Global Typography hides the Styleguide Modal and updates user preferences",""
"passed","Wed Jan 17 14:49:58 GMT 2024","Wed Jan 17 14:50:07 GMT 2024","9031","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Change color title",""
"passed","Wed Jan 17 14:47:14 GMT 2024","Wed Jan 17 14:47:18 GMT 2024","4504","","assets/dev/js/editor/elements/views/widget.test.ts","$e.run( 'editor/elements/views/widget' )","","","Check if the empty placeholder is displayed inside the Video widget",""
"passed","Wed Jan 17 14:50:36 GMT 2024","Wed Jan 17 14:50:46 GMT 2024","10075","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Changed font values in picker to reflect in styleguide",""
"passed","Wed Jan 17 14:47:10 GMT 2024","Wed Jan 17 14:47:14 GMT 2024","4385","","container-grid.test.ts","Container Grid tests @container","","","Test grid outline multiple controls",""
"passed","Wed Jan 17 14:50:48 GMT 2024","Wed Jan 17 14:50:53 GMT 2024","4084","","container.test.ts","Container tests @container","","","Gaps Control test - Check that control placeholder",""
"passed","Wed Jan 17 14:46:34 GMT 2024","Wed Jan 17 14:46:35 GMT 2024","1298","","core/app/modules/onboarding/onboarding.test.ts","On boarding @onBoarding","","","Onboarding Skip to Hello Theme Page",""
