"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 08:43:53 GMT 2024","Tue Jan 23 08:44:13 GMT 2024","19559","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""astra-sites"" plugin: @pluginTester1_containers",""
"passed","Tue Jan 23 08:41:36 GMT 2024","Tue Jan 23 08:41:43 GMT 2024","6673","","container-grid.test.ts","Container Grid tests @container","","","Need Help url for grid and flex containers",""
"passed","Tue Jan 23 08:40:37 GMT 2024","Tue Jan 23 08:40:52 GMT 2024","15008","","includes/widgets/image.test.ts","Image widget tests @styleguide_image_link","","","image-box: Image size test",""
"passed","Tue Jan 23 08:41:54 GMT 2024","Tue Jan 23 08:42:18 GMT 2024","23257","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test image template",""
"passed","Tue Jan 23 08:41:03 GMT 2024","Tue Jan 23 08:41:09 GMT 2024","5237","","container-grid.test.ts","Container Grid tests @container","","","Check empty view min height",""
"passed","Tue Jan 23 08:41:11 GMT 2024","Tue Jan 23 08:41:15 GMT 2024","3909","","assets/dev/js/editor/elements/views/widget.test.ts","$e.run( 'editor/elements/views/widget' )","","","Check if the empty placeholder is displayed inside the Image Box widget",""
"passed","Tue Jan 23 08:45:18 GMT 2024","Tue Jan 23 08:45:25 GMT 2024","6482","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check title long title alignment",""
"passed","Tue Jan 23 08:44:07 GMT 2024","Tue Jan 23 08:44:26 GMT 2024","18812","","includes/elements/section/stretch-section.test.ts","","","","Stretch section",""
"passed","Tue Jan 23 08:43:32 GMT 2024","Tue Jan 23 08:43:38 GMT 2024","6603","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Verify that the tab activation works correctly",""
"passed","Tue Jan 23 08:42:24 GMT 2024","Tue Jan 23 08:42:31 GMT 2024","7657","","basic-gallery.test.ts","","","","Basic Gallery Lightbox test with older Swiper",""
"passed","Tue Jan 23 08:45:46 GMT 2024","Tue Jan 23 08:46:06 GMT 2024","20415","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""exclusive-addons-for-elementor"" plugin: @pluginTester1_containers",""
"passed","Tue Jan 23 08:41:31 GMT 2024","Tue Jan 23 08:41:37 GMT 2024","5676","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify image-box link control",""
"passed","Tue Jan 23 08:43:24 GMT 2024","Tue Jan 23 08:43:37 GMT 2024","12574","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test toggle template",""
"passed","Tue Jan 23 08:41:30 GMT 2024","Tue Jan 23 08:41:36 GMT 2024","5821","","container-grid.test.ts","Container Grid tests @container","","","Test Empty View should not distorse preview on tablet",""
"passed","Tue Jan 23 08:40:48 GMT 2024","Tue Jan 23 08:40:57 GMT 2024","9190","","includes/widgets/rating/style-panel.test.ts","Rating style panel - Icon Experiment: inactive @rating","","","Styling test - Icon Experiment: inactive",""
"passed","Tue Jan 23 08:43:06 GMT 2024","Tue Jan 23 08:43:16 GMT 2024","9574","","modules/nested-accordion/nested-accordion.test.ts","Nested Accordion experiment is active @nested-accordion","","","Accessibility on the Front End",""
"passed","Tue Jan 23 08:40:31 GMT 2024","Tue Jan 23 08:40:39 GMT 2024","7439","","modules/nested-accordion/nested-accordion-content.test.ts","Nested Accordion Content Tests @nested-accordion","","","Nested Accordion test SVG Icon and No Icon",""
"passed","Tue Jan 23 08:42:53 GMT 2024","Tue Jan 23 08:43:10 GMT 2024","17109","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test image_carousel template",""
"passed","Tue Jan 23 08:41:18 GMT 2024","Tue Jan 23 08:41:34 GMT 2024","16319","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""rife-elementor-extensions"" plugin: @pluginTester2_containers",""
"passed","Tue Jan 23 08:43:46 GMT 2024","Tue Jan 23 08:43:51 GMT 2024","4984","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Tabs and containers are duplicated correctly",""
"passed","Tue Jan 23 08:41:37 GMT 2024","Tue Jan 23 08:41:45 GMT 2024","7935","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify image-carousel link control",""
"passed","Tue Jan 23 08:41:15 GMT 2024","Tue Jan 23 08:41:18 GMT 2024","3540","","assets/dev/js/editor/elements/views/widget.test.ts","$e.run( 'editor/elements/views/widget' )","","","Check if the empty placeholder is displayed inside the Basic Gallery widget",""
"passed","Tue Jan 23 08:44:39 GMT 2024","Tue Jan 23 08:44:56 GMT 2024","16268","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""code-block-for-elementor"" plugin: @pluginTester2_containers",""
"passed","Tue Jan 23 08:40:30 GMT 2024","Tue Jan 23 08:40:39 GMT 2024","9081","","includes/widgets/rating/content-panel.test.ts","Rating content panel - Icon Experiment inactive @rating","","","Functionality test - Icon Experiment: inactive",""
"passed","Tue Jan 23 08:41:45 GMT 2024","Tue Jan 23 08:41:51 GMT 2024","5933","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify social-icons link control",""
"passed","Tue Jan 23 08:41:30 GMT 2024","Tue Jan 23 08:41:36 GMT 2024","5911","","modules/ai/assets/js/editor/components/prompt-history/index.test.ts","AI @ai","","","Prompt History - Image",""
"passed","Tue Jan 23 08:46:06 GMT 2024","Tue Jan 23 08:46:24 GMT 2024","18311","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""header-footer-elementor"" plugin: @pluginTester1_containers",""
"passed","Tue Jan 23 08:42:59 GMT 2024","Tue Jan 23 08:43:06 GMT 2024","6798","","modules/nested-accordion/nested-accordion.test.ts","Nested Accordion experiment is active @nested-accordion","","","Accessibility inside the Editor",""
"passed","Tue Jan 23 08:41:26 GMT 2024","Tue Jan 23 08:41:33 GMT 2024","7527","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check that the hover affects non-active tab only",""
"passed","Tue Jan 23 08:41:38 GMT 2024","Tue Jan 23 08:41:43 GMT 2024","4515","","assets/dev/js/editor/regions/panel/pages/menu/exit-to.test.ts","","","","Exit to user preference sanity test",""
"passed","Tue Jan 23 08:43:17 GMT 2024","Tue Jan 23 08:43:35 GMT 2024","18763","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""addons-for-elementor"" plugin: @pluginTester1_containers",""
"passed","Tue Jan 23 08:44:17 GMT 2024","Tue Jan 23 08:44:34 GMT 2024","16616","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""ele-custom-skin"" plugin: @pluginTester1_sections",""
"passed","Tue Jan 23 08:44:04 GMT 2024","Tue Jan 23 08:44:13 GMT 2024","8567","","container.test.ts","Container tests @container","","","Verify pasting of elements into the Container Element Add section",""
"passed","Tue Jan 23 08:42:19 GMT 2024","Tue Jan 23 08:42:31 GMT 2024","12548","","modules/nested-accordion/nested-accordion-style.test.ts","Nested Accordion Style Tests @nested-accordion","","","Header style tests - Text Stroke and Shadow",""
"passed","Tue Jan 23 08:43:08 GMT 2024","Tue Jan 23 08:43:24 GMT 2024","16543","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""anywhere-elementor"" plugin: @pluginTester1_sections",""
"passed","Tue Jan 23 08:42:26 GMT 2024","Tue Jan 23 08:42:33 GMT 2024","6430","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check if the svg icons are visible on mobile display on the front end",""
"passed","Tue Jan 23 08:43:02 GMT 2024","Tue Jan 23 08:43:13 GMT 2024","10622","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test progress_bar template",""
"passed","Tue Jan 23 08:42:32 GMT 2024","Tue Jan 23 08:42:50 GMT 2024","18214","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""addon-elements-for-elementor-page-builder"" plugin: @pluginTester1_sections",""
"passed","Tue Jan 23 08:45:39 GMT 2024","Tue Jan 23 08:45:59 GMT 2024","20503","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""happy-elementor-addons"" plugin: @pluginTester2_sections",""
"passed","Tue Jan 23 08:41:13 GMT 2024","Tue Jan 23 08:41:19 GMT 2024","6019","","container-grid.test.ts","Container Grid tests @container","","","Test grid auto flow on different breakpoints",""
"passed","Tue Jan 23 08:40:52 GMT 2024","Tue Jan 23 08:40:59 GMT 2024","6365","","includes/widgets/image.test.ts","Image widget tests @styleguide_image_link","","","image: Custom image size test",""
"passed","Tue Jan 23 08:41:18 GMT 2024","Tue Jan 23 08:41:23 GMT 2024","4479","","assets/dev/js/editor/elements/views/widget.test.ts","$e.run( 'editor/elements/views/widget' )","","","Check if the empty placeholder is displayed inside the Video widget",""
"passed","Tue Jan 23 08:42:59 GMT 2024","Tue Jan 23 08:43:16 GMT 2024","16810","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""unlimited-elements-for-elementor"" plugin: @pluginTester2_containers",""
"passed","Tue Jan 23 08:41:07 GMT 2024","Tue Jan 23 08:41:17 GMT 2024","10277","","modules/ai/assets/js/editor/components/prompt-history/index.test.ts","AI @ai","","","Prompt History - a11y",""
"passed","Tue Jan 23 08:45:08 GMT 2024","Tue Jan 23 08:45:27 GMT 2024","19596","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""elementskit-lite"" plugin: @pluginTester1_containers",""
"passed","Tue Jan 23 08:43:25 GMT 2024","Tue Jan 23 08:43:52 GMT 2024","26495","","container.test.ts","Container tests @container","","","Justify icons are displayed correctly",""
"passed","Tue Jan 23 08:44:55 GMT 2024","Tue Jan 23 08:45:00 GMT 2024","4772","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Nested tabs stretch for right direction",""
"passed","Tue Jan 23 08:46:53 GMT 2024","Tue Jan 23 08:47:15 GMT 2024","21737","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""ooohboi-steroids-for-elementor"" plugin: @pluginTester1_sections",""
"passed","Tue Jan 23 08:44:56 GMT 2024","Tue Jan 23 08:45:13 GMT 2024","17211","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""jetwidgets-for-elementor"" plugin: @pluginTester2_containers",""
"passed","Tue Jan 23 08:40:59 GMT 2024","Tue Jan 23 08:41:03 GMT 2024","4240","","container-grid.test.ts","Container Grid tests @container","","","Test grid outline multiple controls",""
"passed","Tue Jan 23 08:42:07 GMT 2024","Tue Jan 23 08:42:19 GMT 2024","11873","","modules/nested-accordion/nested-accordion-style.test.ts","Nested Accordion Style Tests @nested-accordion","","","Header style tests",""
"passed","Tue Jan 23 08:43:13 GMT 2024","Tue Jan 23 08:43:17 GMT 2024","3416","","context-menu.test.ts","Context menu","","","Open Navigator test",""
"passed","Tue Jan 23 08:43:24 GMT 2024","Tue Jan 23 08:43:42 GMT 2024","18147","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""astra-sites"" plugin: @pluginTester1_sections",""
"passed","Tue Jan 23 08:41:19 GMT 2024","Tue Jan 23 08:41:25 GMT 2024","6491","","container-grid.test.ts","Container Grid tests @container","","","Test Empty View should show",""
"passed","Tue Jan 23 08:40:35 GMT 2024","Tue Jan 23 08:40:51 GMT 2024","15794","","video.test.ts","Video tests inside a container @video","","","youtube controls and link test",""
"passed","Tue Jan 23 08:43:56 GMT 2024","Tue Jan 23 08:44:04 GMT 2024","7930","","container.test.ts","Container tests @container","","","Test grid container controls",""
"passed","Tue Jan 23 08:41:23 GMT 2024","Tue Jan 23 08:41:26 GMT 2024","3900","","assets/dev/js/editor/introduction-tooltips/global-color-introduction.test.ts","Global color introduction tests","","","Check if globals introduction tooltip is being triggered by clicking on the color picker",""
"passed","Tue Jan 23 08:41:51 GMT 2024","Tue Jan 23 08:41:56 GMT 2024","5653","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify text-path link control",""
"passed","Tue Jan 23 08:41:24 GMT 2024","Tue Jan 23 08:41:30 GMT 2024","5477","","modules/ai/assets/js/editor/components/prompt-history/index.test.ts","AI @ai","","","Prompt History - Code",""
"passed","Tue Jan 23 08:46:13 GMT 2024","Tue Jan 23 08:46:18 GMT 2024","5558","","video.test.ts","Video tests inside a section","","","Verify that there is no gap between the video widget and the section",""
"passed","Tue Jan 23 08:42:16 GMT 2024","Tue Jan 23 08:42:22 GMT 2024","5794","","container.test.ts","Container tests @container","","","Test widgets inside the container using position fixed",""
"passed","Tue Jan 23 08:41:48 GMT 2024","Tue Jan 23 08:41:52 GMT 2024","3783","","assets/js/editor/controls/wysiwyg.test.ts","","","","WYSIWYG Control allows mixing HTML & entities",""
"passed","Tue Jan 23 08:47:03 GMT 2024","Tue Jan 23 08:47:22 GMT 2024","19704","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""metform"" plugin: @pluginTester1_containers",""
"passed","Tue Jan 23 08:41:03 GMT 2024","Tue Jan 23 08:41:07 GMT 2024","3633","","assets/dev/js/editor/elements/views/widget.test.ts","$e.run( 'editor/elements/views/widget' )","","","Check if the empty placeholder is displayed inside the Image Carousel",""
"passed","Tue Jan 23 08:41:43 GMT 2024","Tue Jan 23 08:41:48 GMT 2024","5089","","assets/dev/js/frontend/handlers/image-carousel/lazyload.test.ts","","","","Image Carousel widget sanity test lazyload",""
"passed","Tue Jan 23 08:41:11 GMT 2024","Tue Jan 23 08:41:19 GMT 2024","8192","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check the icon size on frontend",""
"passed","Tue Jan 23 08:41:56 GMT 2024","Tue Jan 23 08:42:12 GMT 2024","16355","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test icon_list template",""
"passed","Tue Jan 23 08:45:02 GMT 2024","Tue Jan 23 08:45:11 GMT 2024","8517","","includes/widgets/image-carousel.test.ts","Image carousel tests","","","Accessibility test",""
"passed","Tue Jan 23 08:41:25 GMT 2024","Tue Jan 23 08:41:30 GMT 2024","5394","","container-grid.test.ts","Container Grid tests @container","","","Test Empty View should not distorse preview",""
"passed","Tue Jan 23 08:40:23 GMT 2024","Tue Jan 23 08:40:31 GMT 2024","8629","","modules/nested-accordion/nested-accordion-content.test.ts","Nested Accordion Content Tests @nested-accordion","","","Nested Accordion Title Icon and Text Vertical Alignment",""
"passed","Tue Jan 23 08:42:57 GMT 2024","Tue Jan 23 08:43:17 GMT 2024","19589","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""addon-elements-for-elementor-page-builder"" plugin: @pluginTester1_containers",""
"passed","Tue Jan 23 08:42:55 GMT 2024","Tue Jan 23 08:42:59 GMT 2024","3941","","modules/nested-accordion/nested-accordion.test.ts","Nested Accordion experiment is active @nested-accordion","","","Nested Accordion with inner Nested Accordion",""
"passed","Tue Jan 23 08:42:42 GMT 2024","Tue Jan 23 08:43:04 GMT 2024","21730","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Verify the correct relationships between normal, hover and active styling",""
"passed","Tue Jan 23 08:40:30 GMT 2024","Tue Jan 23 08:40:35 GMT 2024","5577","","video.test.ts","Video tests inside a container @video","","","Verify that there is no gap between the video widget and the container",""
"passed","Tue Jan 23 08:40:39 GMT 2024","Tue Jan 23 08:40:48 GMT 2024","8828","","includes/widgets/rating/content-panel.test.ts","Rating content panel - Icon Experiment active @rating","","","Functionality test - Icon Experiment: active",""
"passed","Tue Jan 23 08:43:33 GMT 2024","Tue Jan 23 08:43:51 GMT 2024","17730","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""ht-mega-for-elementor"" plugin: @pluginTester2_sections",""
"passed","Tue Jan 23 08:43:00 GMT 2024","Tue Jan 23 08:43:13 GMT 2024","13712","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Disabling Styleguide Preview at Global Typography hides the Styleguide Modal and updates user preferences",""
"passed","Tue Jan 23 08:44:35 GMT 2024","Tue Jan 23 08:44:39 GMT 2024","3921","","includes/widgets/icon-list.test.ts","Icon List","","","Test vertical alignment of the icons",""
"passed","Tue Jan 23 08:46:19 GMT 2024","Tue Jan 23 08:46:36 GMT 2024","17572","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""metform"" plugin: @pluginTester1_sections",""
"passed","Tue Jan 23 08:41:34 GMT 2024","Tue Jan 23 08:41:38 GMT 2024","3981","","assets/dev/js/editor/introduction-tooltips/global-font-introduction.test.ts","Global font introduction tests","","","Check if globals introduction tooltip is not being triggered twice",""
"passed","Tue Jan 23 08:45:43 GMT 2024","Tue Jan 23 08:46:02 GMT 2024","18609","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""jeg-elementor-kit"" plugin: @pluginTester1_sections",""
"passed","Tue Jan 23 08:44:13 GMT 2024","Tue Jan 23 08:44:16 GMT 2024","3405","","container.test.ts","Container tests @container","","","Test container wizard",""
"passed","Tue Jan 23 08:42:43 GMT 2024","Tue Jan 23 08:42:47 GMT 2024","3524","","button.test.ts","","","","Button widget sanity test",""
"passed","Tue Jan 23 08:42:20 GMT 2024","Tue Jan 23 08:42:26 GMT 2024","6292","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check if the icons are visible on mobile display on the front end",""
"passed","Tue Jan 23 08:42:50 GMT 2024","Tue Jan 23 08:43:08 GMT 2024","17359","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""addons-for-elementor"" plugin: @pluginTester1_sections",""
"passed","Tue Jan 23 08:41:55 GMT 2024","Tue Jan 23 08:42:11 GMT 2024","15892","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""sb-elementor-contact-form-db"" plugin: @pluginTester2_sections",""
