"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 12:47:45 GMT 2024","Mon Jan 22 12:47:57 GMT 2024","11554","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test progress_bar template",""
"passed","Mon Jan 22 12:49:42 GMT 2024","Mon Jan 22 12:49:46 GMT 2024","3923","","container.test.ts","Container tests @container","","","Gaps Control test - Check that control placeholder",""
"passed","Mon Jan 22 12:47:50 GMT 2024","Mon Jan 22 12:47:55 GMT 2024","5247","","modules/nested-accordion/nested-accordion.test.ts","Nested Accordion experiment is active @nested-accordion","","","Nested Accordion Visual Regression Test",""
"passed","Mon Jan 22 12:46:07 GMT 2024","Mon Jan 22 12:46:11 GMT 2024","4323","","container-grid.test.ts","Container Grid tests @container","","","Test grid outline multiple controls",""
"passed","Mon Jan 22 12:46:38 GMT 2024","Mon Jan 22 12:46:43 GMT 2024","4943","","assets/dev/js/frontend/handlers/image-carousel/lazyload.test.ts","","","","Image Carousel widget sanity test lazyload",""
"passed","Mon Jan 22 12:45:20 GMT 2024","Mon Jan 22 12:45:29 GMT 2024","9621","","modules/nested-accordion/nested-accordion-content.test.ts","Nested Accordion Content Tests @nested-accordion","","","Nested Accordion Title Icon and Text Vertical Alignment",""
"passed","Mon Jan 22 12:46:05 GMT 2024","Mon Jan 22 12:46:14 GMT 2024","8634","","includes/widgets/rating/style-panel.test.ts","Rating style panel - Icon Experiment: active @rating","","","Rating flex-wrap styling: active",""
"passed","Mon Jan 22 12:48:04 GMT 2024","Mon Jan 22 12:48:20 GMT 2024","16252","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test video template",""
"passed","Mon Jan 22 12:48:49 GMT 2024","Mon Jan 22 12:48:54 GMT 2024","4318","","elements-panel.test.ts","","","","add widgets from the panel by click",""
"passed","Mon Jan 22 12:46:30 GMT 2024","Mon Jan 22 12:46:51 GMT 2024","20733","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""astra-sites"" plugin: @pluginTester1_sections",""
"passed","Mon Jan 22 12:49:55 GMT 2024","Mon Jan 22 12:50:00 GMT 2024","4801","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Nested tabs stretch for top direction",""
"passed","Mon Jan 22 12:47:27 GMT 2024","Mon Jan 22 12:47:43 GMT 2024","16819","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""sticky-header-effects-for-elementor"" plugin: @pluginTester2_sections",""
"passed","Mon Jan 22 12:48:15 GMT 2024","Mon Jan 22 12:48:27 GMT 2024","11959","","container.test.ts","Container tests @container","","","Container handle should be centered",""
"passed","Mon Jan 22 12:49:27 GMT 2024","Mon Jan 22 12:49:38 GMT 2024","11726","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Nested tabs horizontal scroll",""
"passed","Mon Jan 22 12:45:24 GMT 2024","Mon Jan 22 12:45:25 GMT 2024","787","","core/app/modules/onboarding/onboarding.test.ts","On boarding @onBoarding","","","Onboarding Site Name Page",""
"passed","Mon Jan 22 12:45:18 GMT 2024","Mon Jan 22 12:45:37 GMT 2024","18888","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""post-grid-elementor-addon"" plugin: @pluginTester2_sections",""
"passed","Mon Jan 22 12:47:41 GMT 2024","Mon Jan 22 12:47:50 GMT 2024","9168","","modules/nested-accordion/nested-accordion.test.ts","Nested Accordion experiment is active @nested-accordion","","","General Test",""
"passed","Mon Jan 22 12:48:47 GMT 2024","Mon Jan 22 12:48:57 GMT 2024","9301","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Clicks on color trigger picker state and active state",""
"passed","Mon Jan 22 12:46:40 GMT 2024","Mon Jan 22 12:46:55 GMT 2024","15618","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test icon_list template",""
"passed","Mon Jan 22 12:46:25 GMT 2024","Mon Jan 22 12:46:29 GMT 2024","3928","","assets/dev/js/editor/introduction-tooltips/global-font-introduction.test.ts","Global font introduction tests","","","Check if globals introduction tooltip is being triggered by clicking on the font popover",""
"passed","Mon Jan 22 12:47:53 GMT 2024","Mon Jan 22 12:48:05 GMT 2024","12151","","container.test.ts","Container tests @container","","","Fallback image is not on top of background video AND border radius with background image",""
"passed","Mon Jan 22 12:51:06 GMT 2024","Mon Jan 22 12:51:12 GMT 2024","5496","","video.test.ts","Video tests inside a section","","","Verify that there is no gap between the video widget and the section",""
"passed","Mon Jan 22 12:47:04 GMT 2024","Mon Jan 22 12:47:10 GMT 2024","5733","","link.test.ts","Testing link control for widgets: @styleguide_image_link","","","Verify image-box link control",""
"passed","Mon Jan 22 12:46:12 GMT 2024","Mon Jan 22 12:46:30 GMT 2024","18308","","elements-regression.test.ts","Elementor regression tests with templates for CORE","","","Test alert template",""
"passed","Mon Jan 22 12:45:52 GMT 2024","Mon Jan 22 12:46:01 GMT 2024","8985","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:mobile - Experiment breakpoints:Off",""
"passed","Mon Jan 22 12:46:40 GMT 2024","Mon Jan 22 12:46:51 GMT 2024","11290","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:tablet - Experiment breakpoints:On",""
"passed","Mon Jan 22 12:48:54 GMT 2024","Mon Jan 22 12:49:12 GMT 2024","17784","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""jetgridbuilder"" plugin: @pluginTester2_sections",""
"passed","Mon Jan 22 12:49:06 GMT 2024","Mon Jan 22 12:49:27 GMT 2024","20700","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check that background video is loaded in multiple content containers",""
"passed","Mon Jan 22 12:45:21 GMT 2024","Mon Jan 22 12:45:29 GMT 2024","8796","","includes/widgets/rating/content-panel.test.ts","Rating content panel - Icon Experiment inactive @rating","","","Functionality test - Icon Experiment: inactive",""
"passed","Mon Jan 22 12:45:54 GMT 2024","Mon Jan 22 12:46:13 GMT 2024","18994","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""addons-for-elementor"" plugin: @pluginTester1_sections",""
"passed","Mon Jan 22 12:45:25 GMT 2024","Mon Jan 22 12:45:31 GMT 2024","6031","","video.test.ts","Video tests inside a container @video","","","Verify that there is no gap between the video widget and the container",""
"passed","Mon Jan 22 12:47:44 GMT 2024","Mon Jan 22 12:48:02 GMT 2024","17914","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""sb-elementor-contact-form-db"" plugin: @pluginTester2_containers",""
"passed","Mon Jan 22 12:47:34 GMT 2024","Mon Jan 22 12:47:41 GMT 2024","7417","","modules/nested-accordion/nested-accordion.test.ts","Nested Accordion experiment inactive @nested-accordion","","","Nested-accordion should not appear in widgets panel",""
"passed","Mon Jan 22 12:47:29 GMT 2024","Mon Jan 22 12:47:47 GMT 2024","18381","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""ele-custom-skin"" plugin: @pluginTester1_sections",""
