"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 11:35:51 GMT 2024","Wed Jan 17 11:36:08 GMT 2024","16668","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""make-column-clickable-elementor"" plugin: @pluginTester1_sections",""
"passed","Wed Jan 17 11:37:53 GMT 2024","Wed Jan 17 11:37:55 GMT 2024","2005","","modules/promotions/admin-menu-items/menu-item-promotions.test.ts","","","","Promotion screenshot",""
"passed","Wed Jan 17 11:35:45 GMT 2024","Wed Jan 17 11:35:49 GMT 2024","4370","","elements-panel.test.ts","","","","add widgets from the panel by click",""
"passed","Wed Jan 17 11:33:32 GMT 2024","Wed Jan 17 11:33:49 GMT 2024","16916","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""connect-polylang-elementor"" plugin: @pluginTester1_containers",""
"passed","Wed Jan 17 11:37:16 GMT 2024","Wed Jan 17 11:37:23 GMT 2024","6536","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Check title width inside the accordion mode",""
"passed","Wed Jan 17 11:36:05 GMT 2024","Wed Jan 17 11:36:10 GMT 2024","4581","","container.test.ts","Container tests @container","","","Widgets are not editable in preview mode",""
"passed","Wed Jan 17 11:36:29 GMT 2024","Wed Jan 17 11:36:46 GMT 2024","17002","","plugin-tester-pro.test.ts","Plugin tester tests: containers","","","""tutor-lms-elementor-addons"" plugin: @pluginTester2_containers",""
"passed","Wed Jan 17 11:32:50 GMT 2024","Wed Jan 17 11:32:57 GMT 2024","6623","","modules/nested-tabs/nested-tabs.test.ts","Nested Tabs tests @nested-tabs","","","Accessibility inside the Editor",""
"passed","Wed Jan 17 11:33:05 GMT 2024","Wed Jan 17 11:33:15 GMT 2024","10315","","modules/ai/assets/js/editor/components/prompt-history/index.test.ts","AI @ai","","","Prompt History - a11y",""
"passed","Wed Jan 17 11:32:21 GMT 2024","Wed Jan 17 11:32:30 GMT 2024","9179","","includes/elements/section/reverse-columns/reverse-columns.test.ts","Reverse Columns tests @reverse-columns","","","Reverse columns:mobile - Experiment breakpoints:Off",""
"passed","Wed Jan 17 11:34:24 GMT 2024","Wed Jan 17 11:34:36 GMT 2024","11976","","bg-lazyload.test.ts","Background Lazy Load","","","Background lazy load sanity test",""
"passed","Wed Jan 17 11:32:47 GMT 2024","Wed Jan 17 11:32:55 GMT 2024","7497","","modules/nested-accordion/nested-accordion-content.test.ts","Nested Accordion Content Tests @nested-accordion","","","Nested Accordion test SVG Icon and No Icon",""
"passed","Wed Jan 17 11:33:11 GMT 2024","Wed Jan 17 11:33:30 GMT 2024","18532","","plugin-tester-pro.test.ts","Plugin tester tests: sections","","","""astra-sites"" plugin: @pluginTester1_sections",""
"passed","Wed Jan 17 11:36:30 GMT 2024","Wed Jan 17 11:36:34 GMT 2024","3420","","container.test.ts","Container tests @container","","","Container no horizontal scroll",""
"passed","Wed Jan 17 11:35:11 GMT 2024","Wed Jan 17 11:35:14 GMT 2024","3516","","context-menu.test.ts","Context menu","","","Style test",""
"passed","Wed Jan 17 11:34:17 GMT 2024","Wed Jan 17 11:34:33 GMT 2024","15592","","modules/styleguide/styleguide.test.ts","Styleguide Preview tests @styleguide_image_link","","","Enabling Styleguide Preview user preference enabled Styleguide Preview at Global Colors and Global Typography",""
